"cohen_d_xaxis","cohen_d_yaxis","pvalue_negneg","pvalue_pospos","xaxis","yaxis","feat","cancer_type","nPosX","nPosY","nSamplesX","nSamplesY"
0.675869571405656,0.675869571405656,0.831683168316832,0.0297029702970297,"Cisplatin","Oxaliplatin","SBS28","EWING",7,7,20,20
-0.572367092308308,-0.572367092308308,0.0297029702970297,0.811881188118812,"Cisplatin","Oxaliplatin","SBS29L/18L","EWING",8,8,20,20
-0.085927733425997,-0.085927733425997,NA,NA,"Cisplatin","Oxaliplatin","SBS30L/7bL/11L","EWING",9,9,20,20
-0.16169839581487,-0.16169839581487,NA,NA,"Cisplatin","Oxaliplatin","SBS31L","EWING",5,5,20,20
0.239028237035793,0.239028237035793,0.574257425742574,0.118811881188119,"Cisplatin","Oxaliplatin","SBS32L","EWING",9,9,20,20
-0.336413769884325,-0.336413769884325,0.0792079207920792,0.524752475247525,"Cisplatin","Oxaliplatin","SBS33L","EWING",2,2,20,20
-0.573684706365851,-0.573684706365851,0.0198019801980198,0.742574257425743,"Cisplatin","Oxaliplatin","SBS36/56L","EWING",7,7,20,20
-0.274868398011424,-0.274868398011424,0.099009900990099,0.554455445544555,"Cisplatin","Oxaliplatin","SBS38/45L","EWING",7,7,20,20
0.00980390736034501,0.00980390736034501,NA,NA,"Cisplatin","Oxaliplatin","SBS40L","EWING",16,16,20,20
-0.273808734542987,-0.273808734542987,0.0891089108910891,0.475247524752475,"Cisplatin","Oxaliplatin","SBS42L","EWING",10,10,20,20
-0.251965717450617,-0.251965717450617,0.168316831683168,0.386138613861386,"Cisplatin","Oxaliplatin","SBS43/60L","EWING",4,4,20,20
-0.0761581535250876,-0.0761581535250876,NA,NA,"Cisplatin","Oxaliplatin","SBS44L","EWING",4,4,20,20
-0.909086115969594,-0.909086115969594,0.0099009900990099,0.96039603960396,"Cisplatin","Oxaliplatin","SBS45/38L/4L","EWING",8,8,20,20
0.452213522713036,0.452213522713036,0.623762376237624,0.0891089108910891,"Cisplatin","Oxaliplatin","SBS46L","EWING",5,5,20,20
-0.318986533107842,-0.318986533107842,0.0693069306930693,0.633663366336634,"Cisplatin","Oxaliplatin","SBS48L","EWING",9,9,20,20
-0.274827452523665,-0.274827452523665,0.198019801980198,0.366336633663366,"Cisplatin","Oxaliplatin","SBS49","EWING",2,2,20,20
-0.608683122408605,-0.608683122408605,0.0297029702970297,0.742574257425743,"Cisplatin","Oxaliplatin","SBS52","EWING",6,6,20,20
-0.618919404151337,-0.618919404151337,0.0495049504950495,0.564356435643564,"Cisplatin","Oxaliplatin","SBS53L/38L","EWING",2,2,20,20
-0.7257395076571,-0.7257395076571,0.0099009900990099,0.910891089108911,"Cisplatin","Oxaliplatin","SBS55L/60L","EWING",14,14,20,20
-0.461461762495438,-0.461461762495438,0.0297029702970297,0.732673267326733,"Cisplatin","Oxaliplatin","SBS56/10aL/36L","EWING",7,7,20,20
-0.573684706365851,-0.573684706365851,0.0297029702970297,0.752475247524752,"Cisplatin","Oxaliplatin","SBS59","EWING",7,7,20,20
0.156461444849037,0.156461444849037,NA,NA,"Cisplatin","Oxaliplatin","SBS60","EWING",3,3,20,20
0.211611685233682,0.211611685233682,0.504950495049505,0.168316831683168,"Cisplatin","Oxaliplatin","SBS-CL1","EWING",3,3,20,20
-0.439270702282714,-0.439270702282714,0.0297029702970297,0.702970297029703,"Cisplatin","Oxaliplatin","SBS-CL3","EWING",10,10,20,20
-0.715439129900658,-0.715439129900658,0.0495049504950495,0.673267326732673,"Cisplatin","Oxaliplatin","SBS-CL4","EWING",18,18,20,20
-0.032373199325679,-0.032373199325679,NA,NA,"Cisplatin","Oxaliplatin","SBS2","SKCM",19,19,48,48
-0.337539341734923,-0.337539341734923,0.0099009900990099,0.693069306930693,"Cisplatin","Oxaliplatin","SBS3L","SKCM",40,40,48,48
