"","TTT>G","TTT>C","TTT>A","GTT>G","GTT>C","GTT>A","CTT>G","CTT>C","CTT>A","ATT>G","ATT>C","ATT>A","ACA>A","ACA>G","ACA>T","ACC>A","ACC>G","ACC>T","ACG>A","ACG>G","ACG>T","ACT>A","ACT>G","ACT>T","TTG>G","TTG>C","TTG>A","GTG>G","GTG>C","GTG>A","CTG>G","CTG>C","CTG>A","ATG>G","ATG>C","ATG>A","CCA>A","CCA>G","CCA>T","CCC>A","CCC>G","CCC>T","CCG>A","CCG>G","CCG>T","CCT>A","CCT>G","CCT>T","TTC>G","TTC>C","TTC>A","GTC>G","GTC>C","GTC>A","CTC>G","CTC>C","CTC>A","ATC>G","ATC>C","ATC>A","GCA>A","GCA>G","GCA>T","GCC>A","GCC>G","GCC>T","GCG>A","GCG>G","GCG>T","GCT>A","GCT>G","GCT>T","TTA>G","TTA>C","TTA>A","GTA>G","GTA>C","GTA>A","CTA>G","CTA>C","CTA>A","ATA>G","ATA>C","ATA>A","TCA>A","TCA>G","TCA>T","TCC>A","TCC>G","TCC>T","TCG>A","TCG>G","TCG>T","TCT>A","TCT>G","TCT>T"
"1240210",3,9,3,22,8,1,2,3,1,3,6,0,16,3,11,7,0,7,5,5,24,3,8,10,2,7,2,22,2,3,0,5,4,5,8,1,3,3,5,4,1,2,1,0,15,0,8,14,3,19,0,11,4,1,1,14,3,0,17,0,6,4,6,0,3,4,0,2,24,3,6,9,1,2,2,7,2,0,1,4,1,0,9,0,4,0,13,6,5,12,0,3,13,4,3,11
"908454",0,8,1,20,0,0,0,5,0,0,1,2,13,0,4,3,1,7,0,2,9,2,0,3,0,0,0,37,5,3,2,8,1,4,3,2,8,0,10,4,2,6,1,0,16,0,1,4,1,17,0,13,8,0,1,13,3,0,3,0,4,3,0,2,10,3,1,4,4,0,12,13,0,2,2,12,0,1,0,1,0,1,1,1,7,3,3,2,3,6,1,1,14,0,0,9
"909751",9,47,16,37,24,2,11,25,3,3,32,14,22,4,99,11,2,52,2,0,123,13,4,55,4,25,1,26,29,1,9,44,6,4,38,8,25,3,40,29,3,49,10,4,120,71,5,65,5,51,1,13,17,3,8,21,4,3,29,10,11,10,81,9,10,98,8,1,166,11,35,101,3,15,10,17,31,3,1,16,0,2,35,12,16,3,46,7,3,55,2,3,58,30,11,65
"909757",10,10,4,36,5,5,4,8,1,1,11,3,28,5,16,17,8,13,4,1,40,9,5,10,3,0,3,35,5,0,4,15,8,4,13,7,16,2,12,5,8,13,4,1,45,5,0,31,4,30,0,16,7,4,4,24,6,1,15,4,14,11,11,3,16,14,1,10,36,7,25,10,1,5,2,13,7,1,3,3,3,4,7,5,16,2,15,0,2,14,0,4,23,15,13,33
"907285",3,5,0,41,5,1,0,2,0,0,11,2,12,0,13,11,0,7,3,3,25,14,0,13,0,4,5,35,12,0,2,3,2,0,12,1,8,2,12,3,3,8,0,3,23,0,6,9,2,33,1,14,7,1,3,17,0,0,10,3,7,4,1,0,23,0,4,4,20,0,23,9,0,4,0,15,4,0,2,0,0,1,17,0,7,6,11,4,0,8,1,1,11,1,4,22
"910702",0,0,1,38,1,5,3,2,0,0,7,3,14,4,12,5,3,6,6,2,32,9,0,0,0,0,0,35,7,6,5,6,3,0,9,4,13,2,1,0,1,11,3,0,19,0,1,9,2,29,0,16,6,1,1,10,0,0,9,6,3,8,5,0,14,5,1,4,12,0,19,4,3,6,11,17,0,0,2,4,0,3,9,1,5,0,7,0,1,6,0,6,11,5,6,30
"753624",0,0,1,27,4,0,0,4,1,4,4,2,15,6,2,3,1,15,0,2,20,8,1,8,1,5,0,30,14,4,6,8,1,0,16,1,9,4,13,5,1,3,1,3,23,6,8,8,1,33,1,12,9,1,2,14,0,3,15,4,1,6,3,1,7,8,2,3,11,2,16,2,1,0,2,7,3,4,1,4,1,0,0,1,4,4,12,3,7,7,3,3,24,5,5,25
"910915",3,0,1,38,5,1,1,6,0,1,11,1,18,3,3,1,1,14,6,2,38,6,0,21,4,2,0,26,4,1,3,8,5,0,8,5,15,3,9,1,0,14,0,3,30,0,3,8,1,17,2,11,6,3,0,23,0,0,14,3,4,5,11,3,8,13,0,6,20,7,22,0,5,6,2,14,7,2,3,0,0,0,16,2,1,2,13,3,6,11,0,1,11,4,8,26
"910079",2,18,5,38,16,3,4,22,8,3,15,0,27,8,22,18,6,20,6,7,71,14,7,29,0,10,1,33,20,5,9,20,5,4,43,3,13,8,23,5,8,20,1,9,55,5,5,16,8,34,0,12,20,2,5,37,3,1,23,2,13,14,20,11,23,21,2,3,64,9,30,23,5,9,7,18,6,2,0,20,0,3,31,3,10,13,22,4,7,25,4,5,41,7,12,40
"905955",8,15,2,29,22,3,6,2,3,0,15,0,15,2,15,15,7,28,3,1,29,8,2,9,4,7,0,25,7,0,1,13,6,1,22,1,12,2,22,3,1,38,0,1,29,15,0,42,2,28,1,10,14,1,4,25,0,0,11,6,4,12,14,5,12,38,3,4,33,1,16,21,0,4,3,17,16,4,0,1,2,1,10,0,12,6,17,9,0,74,2,5,22,4,10,43
"909725",3,8,7,32,18,2,4,3,5,1,11,4,13,3,7,5,4,14,2,2,31,7,0,11,0,5,0,30,0,3,3,12,0,2,12,3,11,6,40,7,7,50,2,4,47,5,4,47,1,30,0,13,6,2,0,24,0,0,16,2,6,7,11,0,23,15,1,2,11,5,25,8,3,8,0,12,1,0,0,5,1,0,7,5,5,5,38,3,5,118,0,3,35,4,8,43
"906814",5,16,14,40,34,0,2,9,4,3,20,8,15,2,16,8,1,59,2,2,31,8,4,19,3,4,4,47,5,3,6,12,1,2,14,1,10,0,108,7,4,256,0,2,99,7,8,182,4,25,4,20,13,2,7,24,4,0,13,3,4,7,5,3,13,55,1,1,22,1,27,19,3,9,3,20,0,2,0,9,4,2,17,4,6,0,152,8,4,483,2,3,154,1,5,163
"905945",6,2,2,36,10,3,2,10,0,3,10,4,17,2,16,10,2,13,2,2,33,6,3,12,3,7,0,33,14,3,0,19,3,3,12,2,10,1,6,2,7,17,2,1,30,3,4,24,1,21,0,13,10,1,3,22,0,0,20,5,6,12,7,7,11,17,0,2,6,0,22,16,1,3,1,18,3,1,1,7,0,1,2,1,12,6,16,4,1,20,4,3,18,1,8,25
"907046",33,92,25,60,96,11,26,76,16,12,144,18,58,30,104,41,16,80,18,10,276,24,24,79,15,84,7,47,121,14,28,142,21,17,145,18,33,30,84,29,30,102,10,22,272,30,25,98,23,101,11,25,90,22,25,98,10,9,61,29,26,23,68,35,47,97,20,20,208,21,43,81,13,70,18,24,101,10,8,53,8,8,159,9,17,28,63,22,28,82,10,16,150,22,67,100
"905969",4,1,0,28,5,0,0,0,2,0,5,2,15,1,8,3,0,9,0,0,27,7,0,10,5,6,0,30,1,0,2,9,0,1,10,2,9,3,7,2,3,7,0,2,23,5,0,7,2,35,1,19,4,1,2,20,1,0,11,0,5,4,6,4,15,3,1,6,17,3,26,6,1,0,1,17,6,1,1,3,0,0,1,1,3,0,4,2,6,7,0,2,11,0,2,20
"906790",42,12,6,45,8,1,58,39,8,17,11,2,18,1,19,6,8,9,6,1,34,11,0,14,2,9,4,27,16,0,3,49,8,6,17,3,6,0,9,7,6,20,1,0,59,5,6,28,9,35,2,15,14,1,7,42,5,1,13,3,14,4,12,5,12,11,1,1,40,2,19,9,2,7,0,16,2,0,3,10,0,2,6,2,2,2,19,8,2,22,2,3,18,6,7,16
"908138",8,18,0,36,16,1,0,7,3,0,19,1,23,10,13,15,3,6,1,4,35,12,4,16,1,0,0,37,3,4,2,14,5,1,26,4,13,1,14,0,6,9,2,1,36,4,3,19,4,40,3,17,11,0,2,28,4,0,19,5,9,15,6,2,17,7,3,10,26,0,26,14,3,8,2,16,5,1,4,4,1,0,13,3,9,4,20,2,2,15,3,3,23,9,9,29
"908139",6,16,1,27,11,3,11,10,3,1,17,2,22,4,8,16,2,13,5,1,41,16,3,4,4,2,2,28,9,1,5,8,1,4,7,4,11,1,24,0,4,19,0,3,26,5,2,13,3,15,3,17,4,4,2,26,2,0,12,5,15,11,10,4,8,8,1,8,32,4,30,5,0,7,2,13,8,0,1,7,1,2,19,1,10,3,15,2,3,8,1,3,28,7,7,32
"925340",0,10,1,36,7,0,0,1,2,0,16,0,13,5,9,8,2,6,0,2,19,13,2,6,0,7,0,37,6,2,5,4,2,5,15,0,11,0,9,0,6,9,1,3,31,2,0,11,2,21,1,13,5,1,0,13,5,1,8,1,6,10,8,0,17,9,0,5,22,2,34,8,3,6,0,15,0,0,1,6,0,2,13,2,7,0,18,4,3,9,2,4,5,4,3,29
"908461",24,43,11,32,43,7,22,38,8,11,64,8,36,22,70,33,10,64,12,8,174,22,21,61,19,35,5,39,54,4,14,60,13,16,97,26,20,19,48,23,26,74,10,13,185,18,21,59,9,48,1,18,22,11,10,47,2,1,42,10,31,35,55,11,53,51,8,10,142,11,51,55,15,29,11,20,33,4,3,25,4,5,80,7,11,14,49,9,20,78,4,10,91,23,37,77
"908446",4,3,0,45,8,0,3,12,4,0,15,1,18,0,16,16,6,10,3,5,52,17,2,15,0,6,1,49,5,4,1,13,3,3,23,2,8,6,8,6,7,17,5,1,37,0,2,12,0,33,1,14,6,0,3,29,0,2,13,1,12,17,1,3,27,13,5,5,30,2,38,4,0,7,1,24,1,0,2,0,1,0,10,1,6,0,15,0,2,12,0,2,31,6,8,35
"908445",2,1,1,36,3,0,4,3,3,1,13,0,32,3,16,14,2,8,5,5,20,10,0,17,2,4,2,40,14,0,0,13,7,3,20,1,10,6,15,8,2,11,2,7,47,3,3,13,3,29,3,21,12,2,2,22,0,0,14,3,14,20,10,1,33,12,3,6,32,4,42,20,2,6,5,20,9,0,2,0,0,0,14,2,13,3,22,3,2,2,2,8,23,12,3,35
"908455",2,4,4,32,7,3,2,10,3,1,6,7,25,0,25,7,0,16,4,0,46,15,0,14,0,6,2,39,10,2,3,11,2,3,11,1,20,1,12,10,0,18,0,2,39,46,6,17,3,36,1,17,5,0,2,23,1,0,9,3,6,15,34,6,33,33,1,10,61,6,29,32,1,5,5,21,4,0,1,2,0,0,1,5,6,0,18,3,2,14,0,2,18,8,2,36
"908444",10,33,10,50,24,5,15,27,1,5,29,17,38,9,43,22,4,26,3,0,109,17,6,39,8,18,4,52,40,6,13,48,2,5,48,5,17,5,15,23,6,29,9,5,127,50,14,31,11,52,3,21,22,4,11,34,5,5,19,10,13,16,53,11,19,77,4,8,157,12,49,56,1,16,8,9,23,2,3,12,0,1,44,1,15,10,31,1,2,39,6,5,75,11,8,41
