sample_id,cancer_type,feature,bina
924110,HL,SBS1,0
924111,HNSC,SBS1,0
924151,THCA,SBS1,0
924186,OV,SBS1,0
924187,UCEC,SBS1,0
924188,LGG,SBS1,0
924189,NB,SBS1,0
924238,THCA,SBS1,0
924239,MM,SBS1,0
924240,BRCA,SBS1,0
924241,SCLC,SBS1,0
924244,LUAD,SBS1,0
924247,UCEC,SBS1,0
924248,SARC,SBS1,0
924250,STAD,SBS1,0
925338,BRCA,SBS1,0
925339,SKCM,SBS1,0
925340,STAD,SBS1,0
925341,LUSC,SBS1,0
925343,SARC,SBS1,0
925345,BONE,SBS1,0
925346,PAAD,SBS1,0
925347,PAAD,SBS1,0
925348,PAAD,SBS1,0
930081,SCLC,SBS1,0
930082,UCEC,SBS1,1
930083,THCA,SBS1,0
930297,CESC,SBS1,0
930298,CESC,SBS1,0
930299,THCA,SBS1,0
930301,SKCM,SBS1,0
946353,ESCA,SBS1,0
946354,ESCA,SBS1,0
946355,ESCA,SBS1,0
946356,ESCA,SBS1,0
946358,LYMP,SBS1,0
946359,BRCA,SBS1,0
946360,OV,SBS1,0
946361,LUSC,SBS1,0
946363,NB,SBS1,0
946366,GBM,SBS1,0
946367,GBM,SBS1,0
946368,GBM,SBS1,0
946369,LGG,SBS1,0
946370,GBM,SBS1,0
946372,GBM,SBS1,0
946373,LGG,SBS1,0
946377,GBM,SBS1,0
946382,BRCA,SBS1,0
949088,DLBC,SBS1,0
949090,OV,SBS1,0
949092,SKCM,SBS1,0
949093,BRCA,SBS1,0
949094,GBM,SBS1,0
949153,ALL/CLL,SBS1,0
949154,CESC,SBS1,0
949155,EWING,SBS1,0
949156,EWING,SBS1,0
949157,EWING,SBS1,0
949158,EWING,SBS1,0
949160,EWING,SBS1,0
949161,EWING,SBS1,0
949162,EWING,SBS1,0
949163,EWING,SBS1,0
949164,EWING,SBS1,0
949165,EWING,SBS1,0
949166,EWING,SBS1,0
949167,EWING,SBS1,0
949168,EWING,SBS1,0
949170,NB,SBS1,0
949171,NB,SBS1,0
949172,NB,SBS1,0
949173,NB,SBS1,0
949174,NB,SBS1,0
949175,NB,SBS1,0
949176,NB,SBS1,0
949177,NB,SBS1,0
949179,NB,SBS1,0
971773,SARC,SBS1,0
971774,SARC,SBS1,0
971777,SKCM,SBS1,0
998189,COREAD,SBS1,1
1240122,HNSC,SBS1,0
1240123,COREAD,SBS1,1
1240124,COREAD,SBS1,0
1240125,SKCM,SBS1,0
1240127,UCEC,SBS1,0
1240128,OV,SBS1,0
1240129,OV,SBS1,0
1240130,SKCM,SBS1,0
1240131,MESO,SBS1,0
1240132,MESO,SBS1,0
1240134,MESO,SBS1,0
1240135,MESO,SBS1,0
1240136,MESO,SBS1,0
1240137,MESO,SBS1,0
1240138,MESO,SBS1,0
1240139,MESO,SBS1,0
1240140,HNSC,SBS1,0
1240141,MESO,SBS1,0
1240142,LUSC,SBS1,0
1240143,LUSC,SBS1,0
1240144,LUSC,SBS1,0
1240145,LUAD,SBS1,0
1240146,LUAD,SBS1,0
1240150,LGG,SBS1,0
1240151,STAD,SBS1,0
1240153,SKCM,SBS1,0
1240154,THCA,SBS1,0
1240155,STAD,SBS1,1
1240157,LIHC,SBS1,0
1240158,LIHC,SBS1,0
1240159,LIHC,SBS1,0
1240160,LIHC,SBS1,0
1240161,HNSC,SBS1,0
1240162,HNSC,SBS1,0
1240166,SARC,SBS1,0
1240167,ESCA,SBS1,0
1240168,GBM,SBS1,0
1240169,GBM,SBS1,0
1240170,GBM,SBS1,0
1240172,BRCA,SBS1,0
1240173,COREAD,SBS1,0
1240174,UCEC,SBS1,0
1240178,THCA,SBS1,0
1240179,CESC,SBS1,0
1240182,SCLC,SBS1,0
1240183,LUSC,SBS1,0
1240184,LUSC,SBS1,0
1240185,LUAD,SBS1,0
1240186,SCLC,SBS1,0
1240187,LUAD,SBS1,0
1240189,SCLC,SBS1,0
1240190,LUAD,SBS1,0
1240191,LUSC,SBS1,0
1240192,SCLC,SBS1,0
1240193,SCLC,SBS1,0
1240196,HNSC,SBS1,0
1240197,OV,SBS1,0
